download_list_order	species	in_figure	figure_order	taxonomic_group_from_figure	DNMT1	DNMT1_source	DNMT2	DNMT2_source	DNMT3	DNMT3_source	methylation_CpG_OE
1	Drosophila melanogaster	yes	75.0	Diptera	absent	proteome	present	proteome	absent	proteome	absent
2	Aedes aegypti	yes	76.0	Diptera	absent	proteome	present	proteome	absent	proteome	absent
3	Anopheles gambiae	yes	77.0	Diptera	absent	proteome	present	proteome	absent	proteome	absent
4	Ctenocephalides felis	yes	74.0	Siphonaptera	present	proteome	present	proteome	absent	proteome	present
5	Bombyx mori	yes	80.0	Lepidoptera	present	proteome	present	proteome	absent	proteome	present
6	Danaus plexippus	yes	83.0	Lepidoptera	present	proteome	present	proteome	absent	proteome	absent
7	Operophtera brumata	yes	81.0	Lepidoptera	present	proteome	present	proteome	absent	proteome	present
8	Papilio xuthus	yes	82.0	Lepidoptera	present	proteome	present	proteome	absent	proteome	present
9	Plutella xylostella	yes	79.0	Lepidoptera	present	proteome	present	proteome	absent	proteome	present
10	Agrilus planipennis	yes	63.0	Coleoptera	present	proteome	present	proteome	present	proteome	present
11	Nicrophorus vespilloides	yes	64.0	Coleoptera	present	proteome	present	proteome	present	proteome	present
12	Onthophagus taurus	yes	65.0	Coleoptera	present	proteome	present	proteome	present	proteome	present
13	Oryctes borbonicus	yes	66.0	Coleoptera	present	proteome	present	proteome	absent	proteome	present
14	Anoplophora glabripennis	yes	71.0	Coleoptera	present	proteome	present	proteome	absent	proteome	absent
15	Leptotarsa decemlineata	yes	72.0	Coleoptera	present	proteome	present	proteome	absent	proteome	present
16	Diabrotica virgifera	yes	73.0	Coleoptera	present	proteome	present	proteome	absent	proteome	absent
17	Dendroctonus ponderosae	yes	70.0	Coleoptera	absent	proteome	present	proteome	absent	proteome	absent
18	Aethina tumida	yes	69.0	Coleoptera	present	proteome	present	proteome	absent	proteome	present
19	Tribolium castaneum	yes	67.0	Coleoptera	present	proteome	present	proteome	absent	proteome	absent
20	Asbolus verrucosus	yes	68.0	Coleoptera	present	genome	present	proteome	absent	proteome	missing
21	Apis mellifera	yes	57.0	Hymenoptera	present	proteome	present	proteome	present	proteome	present
22	Bombus impatiens	yes	58.0	Hymenoptera	present	proteome	present	proteome	present	proteome	present
23	Atta cephalotes	yes	62.0	Hymenoptera	present	proteome	present	proteome	present	proteome	present
24	Acromyrmex echinatior	yes	61.0	Hymenoptera	present	proteome	present	proteome	present	genome	absent
25	Harpegnathos saltator	yes	59.0	Hymenoptera	present	proteome	present	proteome	present	proteome	present
26	Solenopsis invicta	yes	60.0	Hymenoptera	present	proteome	present	proteome	present	proteome	present
27	Polistes dominula	yes	55.0	Hymenoptera	present	proteome	present	proteome	absent	proteome	present
28	Polistes canadensis	yes	56.0	Hymenoptera	present	proteome	present	proteome	absent	proteome	present
29	Nasonia vitripennis	yes	54.0	Hymenoptera	present	proteome	present	proteome	present	proteome	present
30	Cephus cinctus	yes	52.0	Hymenoptera	present	proteome	present	proteome	present	proteome	absent
31	Orussus abietinus	yes	53.0	Hymenoptera	present	proteome	present	proteome	present	proteome	absent
32	Athalia rosae	yes	51.0	Hymenoptera	present	proteome	present	proteome	present	proteome	present
33	Pediculus humanus	yes	50.0	Phthiraptera	present	proteome	present	proteome	absent	proteome	present
34	Nilaparvata lugens	yes	36.0	Hemiptera	present	proteome	present	proteome	present	proteome	absent
35	Laodelphax striatellus	yes	37.0	Hemiptera	present	proteome	present	proteome	present	genome	absent
36	Cimex lectularius	yes	40.0	Hemiptera	present	proteome	present	proteome	absent	proteome	present
37	Halyomorpha halys	yes	38.0	Hemiptera	present	proteome	present	proteome	present	proteome	present
38	Bemisia tabaci	yes	41.0	Hemiptera	present	proteome	present	proteome	present	proteome	present
39	Melanaphis sacchari	yes	49.0	Hemiptera	present	proteome	present	proteome	present	proteome	missing
40	Aphis gossypii	yes	47.0	Hemiptera	present	proteome	present	proteome	present	proteome	present
41	Rhopalosiphum maidis	yes	48.0	Hemiptera	present	proteome	present	proteome	present	proteome	present
42	Acyrthosiphon pisum	yes	44.0	Hemiptera	present	proteome	present	proteome	present	proteome	present
43	Diuraphis noxia	yes	46.0	Hemiptera	present	proteome	present	proteome	present	proteome	present
44	Myzus persicae	yes	45.0	Hemiptera	present	proteome	present	proteome	present	proteome	present
45	Sipha flava	yes	43.0	Hemiptera	present	proteome	present	proteome	present	proteome	missing
46	Diaphorina citri	yes	42.0	Hemiptera	present	proteome	present	proteome	absent	proteome	present
47	Frankliniella occidentalis	yes	35.0	Thysanoptera	present	proteome	present	proteome	present	proteome	present
48	Zootermopsis nevadensis	yes	33.0	Blattodea	present	proteome	present	proteome	present	proteome	present
49	Cryptotermes secundus	yes	34.0	Blattodea	present	proteome	present	proteome	present	proteome	present
50	Blattella germanica	yes	32.0	Blattodea	present	proteome	present	proteome	present	proteome	present
51	Orchesella cincta	yes	30.0	Entomobryomorpha	absent	proteome	present	proteome	absent	proteome	absent
52	Folsomia candida	yes	31.0	Entomobryomorpha	absent	proteome	present	proteome	absent	proteome	absent
53	Daphnia pulex	yes	28.0	Cladocera	present	proteome	present	proteome	present	proteome	present
54	Tigriopus californicus	yes	27.0	Harpacticoida	present	proteome	present	proteome	absent	proteome	absent
55	Eurytemora affinis	yes	25.0	Calanoida	present	proteome	present	proteome	absent	proteome	absent
56	Hyalella azteca	yes	23.0	Amphipoda	present	proteome	present	proteome	present	proteome	absent
57	Armadillidium vulgare	yes	22.0	Isopoda	absent	proteome	present	proteome	absent	proteome	absent
58	Penaeus vannamei	yes	21.0	Decapoda	present	proteome	present	proteome	present	proteome	present
59	Leptotrombidium deliense	yes	17.0	Trombidiformes	present	proteome	present	proteome	present	proteome	absent
60	Dinothrombium tinctorium	yes	16.0	Trombidiformes	present	proteome	present	proteome	present	proteome	present
61	Tetranychus urticae	yes	15.0	Trombidiformes	present	proteome	absent	proteome	present	proteome	absent
62	Euroglyphus maynei	yes	14.0	Sarcoptiformes	present	proteome	present	proteome	absent	proteome	absent
63	Dermatophagoides pteronyssinus	yes	13.0	Sarcoptiformes	present	proteome	present	proteome	absent	proteome	absent
64	Sarcoptes scabiei	yes	12.0	Sarcoptiformes	present	proteome	present	proteome	absent	proteome	absent
65	Varroa destructor	yes	10.0	Mesostigmata	absent	proteome	present	proteome	absent	proteome	absent
66	Varroa jacobsoni	yes	11.0	Mesostigmata	absent	proteome	present	proteome	absent	proteome	absent
67	Tropilaelaps mercedesae	yes	9.0	Mesostigmata	absent	proteome	present	proteome	absent	proteome	absent
68	Galendromus occidentalis	yes	8.0	Mesostigmata	absent	proteome	present	proteome	absent	proteome	absent
69	Ixodes scapularis	yes	7.0	Ixodida	present	proteome	present	proteome	present	proteome	absent
70	Trichonephila clavipes	yes	6.0	Araneae	present	genome	present	proteome	present	genome	present
71	Parasteatoda tepidariorum	yes	5.0	Araneae	present	proteome	present	proteome	present	proteome	present
72	Stegodyphus mimosarum	yes	4.0	Araneae	present	proteome	present	proteome	present	proteome	present
73	Centruroides sculpturatus	yes	3.0	Scorpiones	present	proteome	present	proteome	present	proteome	present
74	Limulus polyphemus	yes	2.0	Xiphosura	present	proteome	present	proteome	present	proteome	present
75	Hypsibius dujardini	yes	8.0	Tardigrada*	absent	proteome	present	proteome	absent	proteome	absent
76	Ramazzottius varieornatus	yes	7.0	Tardigrada*	absent	proteome	present	proteome	absent	proteome	absent
77	Priapulus caudatus	yes	6.0	Priapulida*	present	proteome	present	proteome	present	proteome	present
78	Nematostella vectensis	yes	5.0	Cnidaria*	present	proteome	present	proteome	present	proteome	present
79	Hydra vulgaris	yes	4.0	Cnidaria*	present	proteome	present	proteome	present	proteome	present
80	Trichoplax adhaerens	yes	2.0	Placozoa*	absent	proteome	present	proteome	absent	proteome	absent
81	Trichoplax H2	yes	3.0	Placozoa*	absent	proteome	present	proteome	absent	proteome	absent
82	Amphimedon queenslandica	yes	1.0	Porifera*	present	proteome	present	proteome	present	proteome	present
